,seq_id,ratio1 ,ratio2 ,both
69,rewrite | refactor | rewrite -z | refactor -z | balance | rewrite -z | rewrite -z | lut_opt | balance | rewrite,1.0,1.0,2.0
39,balance | rewrite -z | rewrite -z | refactor -z | balance | refactor -z | rewrite -z | balance | rewrite | refactor,1.0,1.0,2.0
59,rewrite | refactor -z | rewrite -z | rewrite | balance | rewrite -z | refactor -z | lut_opt | rewrite | refactor,1.0,1.0,2.0
57,refactor -z | rewrite -z | rewrite | refactor -z | balance | refactor -z | refactor | lut_opt | refactor -z | rewrite,1.0,1.0,2.0
41,balance | refactor | rewrite -z | refactor -z | balance | refactor -z | rewrite -z | lut_opt | balance | refactor,1.0,1.0,2.0
42,refactor -z | refactor | rewrite -z | rewrite | balance | rewrite -z | refactor | rewrite -z | refactor -z | refactor,1.0,1.0,2.0
43,balance | refactor | rewrite -z | balance | balance | rewrite -z | rewrite -z | rewrite | rewrite | refactor,1.0,1.0,2.0
44,refactor -z | rewrite -z | rewrite -z | balance | lut_opt | refactor -z | refactor | rewrite -z | refactor -z | refactor,1.0,1.0,2.0
45,rewrite | refactor -z | rewrite | refactor -z | balance | rewrite -z | refactor -z | lut_opt | rewrite | refactor,1.0,1.0,2.0
46,rewrite | refactor | rewrite -z | refactor -z | balance | rewrite -z | rewrite -z | lut_opt | rewrite | rewrite,1.0,1.0,2.0
47,refactor -z | rewrite -z | rewrite | rewrite | balance | refactor -z | refactor | rewrite | refactor -z | refactor,1.0,1.0,2.0
58,refactor -z | rewrite -z | rewrite | balance | balance | refactor -z | refactor | lut_opt | balance | refactor,1.0,1.0,2.0
48,refactor -z | balance | rewrite -z | balance | balance | refactor -z | balance | rewrite -z | rewrite | refactor,1.0,1.0,2.0
50,balance | balance | rewrite -z | rewrite | balance | refactor -z | balance | lut_opt | balance | refactor,1.0,1.0,2.0
51,rewrite | refactor -z | rewrite -z | balance | balance | rewrite -z | balance | rewrite -z | rewrite | refactor,1.0,1.0,2.0
52,rewrite | rewrite -z | rewrite -z | balance | balance | refactor -z | refactor | lut_opt | refactor -z | refactor,1.0,1.0,2.0
53,rewrite | refactor -z | rewrite -z | rewrite | balance | rewrite -z | refactor -z | lut_opt | rewrite | refactor,1.0,1.0,2.0
54,balance | refactor | rewrite -z | refactor -z | balance | refactor -z | rewrite -z | rewrite -z | refactor -z | rewrite,1.0,1.0,2.0
55,rewrite | rewrite -z | rewrite -z | balance | balance | refactor -z | refactor | lut_opt | refactor | refactor,1.0,1.0,2.0
56,rewrite | balance | rewrite | balance | balance | rewrite -z | balance | rewrite | rewrite | refactor,1.0,1.0,2.0
49,rewrite | balance | rewrite | refactor -z | balance | rewrite -z | balance | lut_opt | rewrite | refactor,1.0,1.0,2.0
157,balance | rewrite -z | rewrite -z | refactor | balance | refactor -z | refactor | lut_opt | refactor | rewrite,1.0,1.0,2.0
